,Season,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,PIE,NET_RATING,DEF_RATING,OFF_RATING
947.0,1996,1,PHI,Allen Iverson,Georgetown,14.0,914.0,37584.0,24368.0,3394.0,5624.0,0.425,0.313,0.78,41.1,26.7,3.7,6.2,99.0,0.126,3.2,49.6,0.1366849015317287,0.8463894967177243,102.53610503282276,103.37374179431073
948.0,1996,2,TOR,Marcus Camby,UMass,17.0,973.0,28684.0,9262.0,9513.0,1837.0,0.466,0.205,0.67,29.5,9.5,9.8,1.9,81.6,0.137,2.3,31.3,0.1267841726618705,0.22857142857142868,102.74069886947585,102.97029804727647
949.0,1996,3,VAN,Shareef Abdur-Rahim,California,12.0,830.0,28882.0,15028.0,6239.0,2109.0,0.472,0.297,0.81,34.8,18.1,7.5,2.5,71.2,0.118,1.0,21.9,0.12587951807228917,-5.02289156626506,105.84361445783132,100.80192771084336
950.0,1996,4,MIL,Stephon Marbury,Georgia Tech,13.0,846.0,31891.0,16297.0,2516.0,6471.0,0.433,0.325,0.784,37.7,19.3,3.0,7.6,77.5,0.117,1.8,30.7,0.12337234042553193,-1.780614657210402,105.2904255319149,103.50106382978723
951.0,1996,5,MIN,Ray Allen,UConn,18.0,1300.0,46344.0,24505.0,5272.0,4361.0,0.452,0.4,0.894,35.6,18.9,4.1,3.4,145.1,0.15,2.9,57.6,0.11947538461538462,3.8846153846153846,104.04699999999998,107.94
952.0,1996,6,BOS,Antoine Walker,Kentucky,12.0,893.0,31531.0,15647.0,6891.0,3170.0,0.414,0.325,0.633,35.3,17.5,7.7,3.5,38.1,0.058,0.3,18.0,0.10672452407614783,-2.122172452407615,104.50705487122059,102.39798432250839
953.0,1996,7,LAC,Lorenzen Wright,Memphis,13.0,778.0,18535.0,6191.0,4943.0,622.0,0.459,0.069,0.645,23.8,8.0,6.4,0.8,30.5,0.079,-2.6,-3.0,0.07976221079691517,-3.6127249357326474,102.88367609254499,99.2754498714653
954.0,1996,8,NJN,Kerry Kittles,Villanova,8.0,507.0,16929.0,7165.0,1983.0,1295.0,0.439,0.378,0.78,33.4,14.1,3.9,2.6,44.8,0.127,2.2,18.0,0.10650098619329389,1.0597633136094673,100.94990138067061,101.9974358974359
955.0,1996,9,DAL,Samaki Walker,Louisville,10.0,445.0,7612.0,2376.0,2089.0,252.0,0.462,0.111,0.63,17.1,5.3,4.7,0.6,14.2,0.089,-2.6,-1.1,0.07979325842696629,-4.483370786516854,101.87460674157303,97.40651685393259
956.0,1996,10,IND,Erick Dampier,Mississippi State,16.0,987.0,24003.0,7309.0,7005.0,817.0,0.498,0.125,0.626,24.3,7.4,7.1,0.8,52.7,0.105,-1.3,4.1,0.08299392097264438,0.6225937183383992,102.67152988855115,103.29108409321175
957.0,1996,11,GSW,Todd Fuller,NC State,5.0,225.0,2500.0,835.0,674.0,46.0,0.422,,0.668,11.1,3.7,3.0,0.2,2.2,0.041,-5.7,-2.3,0.06090222222222222,-3.978222222222222,100.53244444444444,96.57244444444444
958.0,1996,12,CLE,Vitaly Potapenko,Wright State University,11.0,610.0,11608.0,3995.0,2725.0,418.0,0.479,0.167,0.694,19.0,6.5,4.5,0.7,15.5,0.064,-4.0,-5.9,0.06857213114754099,-1.7560655737704918,100.80245901639344,99.04934426229508
977.0,1996,13,CHH,Kobe Bryant,,20.0,1346.0,48637.0,33643.0,7047.0,6306.0,0.447,0.329,0.837,36.1,25.0,5.2,4.7,172.7,0.17,4.6,80.1,0.14735289747399702,3.856909361069837,104.00237741456168,107.85601783060922
978.0,1996,14,SAC,Peja Stojaković,,13.0,804.0,26966.0,13647.0,3782.0,1408.0,0.45,0.401,0.895,33.5,17.0,4.7,1.8,82.6,0.147,1.9,26.2,0.10957089552238806,4.86865671641791,102.80062189054726,107.67400497512438
959.0,1996,15,PHO,Steve Nash,Santa Clara,18.0,1217.0,38069.0,17387.0,3642.0,10335.0,0.49,0.428,0.904,31.3,14.3,3.0,8.5,129.7,0.164,3.0,48.2,0.13337962202136402,5.888496302382908,105.08455217748563,110.96852917009038
960.0,1996,16,CHH,Tony Delk,Kentucky,10.0,545.0,11702.0,4957.0,1351.0,1024.0,0.408,0.343,0.769,21.5,9.1,2.5,1.9,19.5,0.08,-0.4,4.8,0.08999633027522935,-1.6700917431192661,101.50385321100917,99.82018348623855
979.0,1996,17,POR,Jermaine O'Neal,,18.0,1011.0,27364.0,13309.0,7261.0,1369.0,0.467,0.147,0.715,27.1,13.2,7.2,1.4,66.0,0.116,0.3,15.6,0.11534817012858554,1.2166172106824926,100.21819980217607,101.44589515331356
961.0,1996,18,NYK,John Wallace,Syracuse,7.0,381.0,6143.0,2901.0,1061.0,281.0,0.462,0.3,0.74,16.1,7.6,2.8,0.7,6.4,0.05,-2.7,-1.0,0.08455905511811024,-5.524409448818898,102.2007874015748,96.65013123359579
962.0,1996,19,NYK,Walter McCarty,Kentucky,10.0,593.0,10374.0,3056.0,1554.0,670.0,0.392,0.346,0.698,17.5,5.2,2.6,1.1,13.7,0.064,-1.7,0.8,0.05584317032040473,-1.8252951096121417,99.53305227655986,97.68802698145025
980.0,1996,20,CLE,Zydrunas Ilgauskas,,13.0,843.0,22965.0,10976.0,6191.0,955.0,0.476,0.31,0.78,27.2,13.0,7.3,1.1,66.3,0.139,-0.2,10.2,0.11066666666666666,2.878054567022539,101.56014234875447,104.45492289442467
963.0,1996,21,NYK,Dontae' Jones,Mississippi State,1.0,15.0,91.0,44.0,9.0,5.0,0.333,0.261,,6.1,2.9,0.6,0.3,-0.3,-0.175,-10.9,-0.2,-0.003,-2.0,96.9,94.9
964.0,1996,22,VAN,Roy Rogers,Alabama,3.0,137.0,2309.0,652.0,483.0,57.0,0.483,0.5,0.532,16.9,4.8,3.5,0.4,1.7,0.035,-3.7,-1.0,0.0579051094890511,-11.096350364963504,108.27518248175181,97.14963503649635
